[date] [pITEM_CLASS] [pITEM_NAME] [pITEM_VAL] [mITEM_CLASS] [mITEM_NAME] [mITEM_VAL] [totalSALARY] [totalCURRENT]
2020.09.12 Deposit CTBC 100 --- --- 0 0 100
2020.09.20 Deposit CTBC 100000 --- --- 0 0 100100
2020.09.23 Deposit CTBC 80000 --- --- 0 0 180100
2020.09.23 Deposit CTBC 2000 --- --- 0 0 182100
2020.09.25 Deposit CTBC 20000 --- --- 0 0 202100
2020.09.30 --- --- 0 Others STOCK_BMW 180070 0 22030
2020.10.06 Others STOCK_BMW 180050 --- --- 0 0 202080
2020.10.17 Deposit CTBC 50000 --- --- 0 0 252080
2020.10.19 Deposit NETFLIX 878 --- --- 0 0 252958
2020.10.21 Bonus INTEREST 151 --- --- 0 151 253109
2020.10.27 Deposit SPOTIFY-2Y 960 --- --- 0 151 254069
2020.10.27 Deposit SPOTIFY-1Y 480 --- --- 0 151 254549
2020.11.02 Deposit SPOTIFY-1Y 480 --- --- 0 151 255029
2020.11.02 Deposit SPOTIFY-2Y 960 --- --- 0 151 255989
2020.11.02 --- --- 0 Withdraw BANK 600 151 255389
2020.11.12 --- --- 0 Others STOCK_ETF56 84870 151 170519
2020.11.16 Deposit CTBC 50000 --- --- 0 151 220519
2020.11.21 Bonus INTEREST 223 --- --- 0 374 220742
2020.11.23 --- --- 0 Others STOCK 49320 374 171422
2020.12.01 --- --- 0 Others STOCK 9934 374 161488
2020.12.02 --- --- 0 Others STOCK 43561 374 117927
2020.12.04 Others OTHERS 895 --- --- 0 374 118822
2020.12.07 Others STOCK_2363 17025 --- --- 0 374 135847
2020.12.08 Others fromCTBC 40000 --- --- 0 374 175847
2020.12.09 --- --- 0 Others STOCK_3481 38604 374 137243
2020.12.10 Others STOCK_2363 39525 --- --- 0 374 176768
2020.12.10 --- --- 0 Others STOCK_2344 50872 374 125896
2020.12.15 Others STOCK_dis 162 --- --- 0 374 126058
2020.12.15 --- --- 0 Others STOCK 46165 374 79893
2020.12.16 Others STOCK_3481 28076 --- --- 0 374 107969
2020.12.16 Others STOCK_3481 28275 --- --- 0 374 136244
2020.12.17 Others STOCK_2303 44006 --- --- 0 374 180250
2020.12.18 --- --- 0 Others STOCK_2344 24134 374 156116
2020.12.19 Bonus INTEREST 125 --- --- 0 499 156241
2020.12.21 Others STOCK_2344 49182 --- --- 0 499 205423
2020.12.22 --- --- 0 Others STOCK_2344 24234 499 181189
2020.12.22 --- --- 0 Others STOCK_2344 24084 499 157105
2020.12.23 Others STOCK_2344 49182 --- --- 0 499 206287
2020.12.24 --- --- 0 Others STOCK_56 58983 499 147304
2020.12.24 --- --- 0 Others STOCK_2344 23984 499 123320
2020.12.24 --- --- 0 Others STOCK_2344 23833 499 99487
2020.12.24 --- --- 0 Others STOCK_2610 12517 499 86970
2020.12.24 Others STOCK_2344 25438 --- --- 0 499 112408
2020.12.28 Others STOCK_2344 24890 --- --- 0 499 137298
2020.12.28 Others STOCK_2344 25189 --- --- 0 499 162487
2020.12.29 --- --- 0 Others STOCK_2332 28340 499 134147
